id,ecoregion_name,biome,realm,ecoregion_area,area_protected,percent_protected
60141,Monte Alegre varzeá,Tropical & Subtropical Moist Broadleaf Forests,Neotropics,66947.38501,15338.980790000001,22.9%
70104,Eastern Micronesia tropical moist forests,Tropical & Subtropical Moist Broadleaf Forests,Oceania,533.6602109,40.42536299,7.6%
30126,Northwestern Congolian lowland forests,Tropical & Subtropical Moist Broadleaf Forests,Afrotropics,435086.2309,91600.35292,21.1%
30908,Zambezian halophytics,Flooded Grasslands & Savannas,Afrotropics,30438.547710000003,6356.7057780000005,20.9%
51307,Meseta Central matorral,Deserts & Xeric Shrublands,Nearctic,125544.3385,2546.763524,2.0%
10406,Northland temperate kauri forests,Temperate Broadleaf & Mixed Forests,Australasia,29997.234689999997,3558.4205450000004,11.9%
60907,Pantanal,Flooded Grasslands & Savannas,Neotropics,171428.9438,28792.190810000004,16.8%
60206,Bolivian montane dry forests,Tropical & Subtropical Dry Broadleaf Forests,Neotropics,73167.18032,10554.29902,14.4%
70115,Tuamotu tropical moist forests,Tropical & Subtropical Moist Broadleaf Forests,Oceania,948.2895228,40.10223759,4.2%
60153,Peruvian Yungas,Tropical & Subtropical Moist Broadleaf Forests,Neotropics,187123.3525,43043.71917,23.0%
40155,Sri Lanka montane rain forests,Tropical & Subtropical Moist Broadleaf Forests,IndoMalay,3085.7281359999997,636.8952413,20.6%
61307,Galápagos Islands scrubland mosaic,Deserts & Xeric Shrublands,Neotropics,8032.001181999999,8032.001181999999,100.0%
81315,Gobi Lakes Valley desert steppe,Deserts & Xeric Shrublands,Palearctic,139699.9905,5979.708055,4.3%
40206,Khathiar-Gir dry deciduous forests,Tropical & Subtropical Dry Broadleaf Forests,IndoMalay,267563.2213,11360.23947,4.2%
60174,Ucayali moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropics,115186.4373,60037.85924,52.1%
61313,Paraguana xeric scrub,Deserts & Xeric Shrublands,Neotropics,16008.800769999998,3181.5504309999997,19.9%
60162,Sierra Madre de Chiapas moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropics,11283.35089,1790.579225,15.9%
50608,Mid-Continental Canadian forests,Boreal Forests/Taiga,Nearctic,368730.1679,56813.17279,15.4%
81302,Alashan Plateau semi-desert,Deserts & Xeric Shrublands,Palearctic,674924.4011,125563.6587,18.6%
60805,Patagonian steppe,"Temperate Grasslands, Savannas & Shrublands",Neotropics,576570.716,36220.10143,6.3%
